Target Class,Predicted Class
0,0.11207803824238224
1,0.9647042824721391
0,0.10034989847002072
1,0.801343368609278
0,0.3394532450010604
0,0.36959898764890964
1,0.8613587743102364
1,0.754313742159082
1,0.7349982719794429
0,0.19037222407813634
0,0.26552523758715857
0,0.27190695635224504
0,0.22028666373002762
0,0.13974526528326314
0,0.25879752627230973
1,0.8914703933766175
0,0.11879891370477634
0,0.10350344795940083
1,0.9750180425226214
1,0.7795625286634174
0,0.16336644519902901
0,0.1725268323041802
1,0.9802504330345337
1,0.9832432800177313
0,0.262872968775026
1,0.7906991378678127
1,0.9848889699130824
1,0.6027532954951863
1,0.8032377775584948
0,0.2778879121442825
1,0.8969650405850915
0,0.30050678968639194
0,0.08702479069951073
0,0.1384726706008944
1,0.8434437751632691
0,0.16974191932902555
1,0.7640759845989709
1,0.7868946491666471
0,0.28941224360478596
1,0.7809728066739275
0,0.2784988206462409
1,0.9727003338746442
0,0.14171024868625717
0,0.21840261512111742
0,0.1565203602393429
1,0.9908237819070735
1,0.9863286053992218
0,0.138528376226736
0,0.08503952099031302
0,0.31983880429154976
1,0.9164822344576361
1,0.988589575186594
0,0.27719740140450644
0,0.16617742412093048
1,0.7985287770976468
0,0.18649487863046865
0,0.10193869514909575
1,0.8629952921547458
0,0.08541808687595076
1,0.8252599185384911
1,0.6184265394880711
0,0.15920434503422723
0,0.3266639878756268
1,0.9431654812405857
1,0.7457006054252286
1,0.7075225353710046
1,0.882237046794444
1,0.7432497880638741
1,0.953690623821631
1,0.955507686852264
1,0.9923522714278356
0,0.1828937630668457
0,0.1457646909488482
1,0.961496976083164
0,0.2960980087823955
0,0.2701423534572568
0,0.2945935602691124
1,0.9714844637786919
0,0.16714590313955785
1,0.7696474784206254
1,0.752823737856885
1,0.8969558492177069
1,0.8807607467346994
0,0.18831343060148548
0,0.16475594290504425
1,0.7987352877444226
0,0.33544456240687065
0,0.14560559523734362
1,0.8821902033036063
1,0.7781671914936954
1,0.6859332645929582
0,0.17504709465888746
1,0.9869645944322895
0,0.08364340573578462
1,0.8328015059111192
0,0.1505837835917799
1,0.7911322008581733
1,0.83981718634383
1,0.9163413761717812
1,0.9835917269994447
0,0.275321138006217
1,0.7702741783588437
0,0.22417825384116413
0,0.19682146353212515
0,0.1923501734588137
1,0.6553611732490606
0,0.12044496590345341
0,0.16528108065480873
1,0.9638908567924187
0,0.2709384560884183
0,0.21343351725743828
1,0.8706276862828365
0,0.2762984164067462
0,0.25500633471094947
0,0.18927751412714386
1,0.8447402950037752
1,0.7200238516374894
0,0.09301359632875847
0,0.21033652780285927
1,0.7628346616693589
0,0.21164122787042014
1,0.7664999860555028
0,0.23398832643004078
1,0.697033131492278
1,0.9560164385536494
0,0.22877263811123702
1,0.7508290121862979
1,0.9564484573007996
1,0.9794127762840787
0,0.35083577510003344
1,0.9138090145496499
1,0.8102342149183341
1,0.8276439597035995
0,0.25184960346768875
1,0.7469635825808599
1,0.9630787050426921
1,0.8180782126209002
1,0.8869259154143043
0,0.32792585663394846
0,0.26150354460865266
1,0.7981759943867723
0,0.254337348912293
0,0.23652640696220684
0,0.2615016896442965
1,0.9790026853267516
0,0.09264120549806844
0,0.11594927031153561
1,0.8019633805122268
0,0.3120847147007597
1,0.8101604221852606
1,0.8999029003099666
0,0.15213427410962024
1,0.7869309172035337
0,0.26442913812943497
0,0.1782280735094255
1,0.7475324943815608
1,0.9037525306909472
0,0.33615146776315824
0,0.14923785364173828
1,0.9337155818250039
1,0.8078245995918055
1,0.9738665455249385
0,0.23474510539039814
0,0.09217748937606476
1,0.7655850297534927
0,0.27854615671084876
1,0.7785016722778302
0,0.13929466653839703
0,0.13073336934863278
1,0.6895951559277552
1,0.8107555622874416
1,0.8950310816554436
0,0.37807626107513803
1,0.8327420073833982
1,0.7161064723381365
0,0.3134775120489869
0,0.09753919838332172
1,0.8945916165111181
1,0.8582452736486614
0,0.17056495244672376
1,0.7916145699105138
0,0.11649758183383326
1,0.7762015489098418
1,0.8184104321077411
1,0.9895365574563941
1,0.8929691040393005
0,0.13710237173996204
0,0.18309889471800656
0,0.1784385210746092
1,0.7927726394457059
1,0.620746712264646
1,0.898692936659843
1,0.9625944397637807
0,0.20431382873122833
0,0.13283600082380018
0,0.1846529410195856
1,0.7532600098381749
1,0.8508392031622571
1,0.9543910942552741
0,0.10637675400878153
1,0.9196280096771859
0,0.31051016567105816
1,0.8927842273829006
0,0.23734269433086924
1,0.683677440640785
0,0.16805182956469863
0,0.10260296104934508
0,0.09534310345220383
0,0.12077157227916027
1,0.9676654642575934
0,0.0905116087498171
1,0.6876439806750633
1,0.7908630895886158
0,0.2379446160910542
1,0.9050176893247042
0,0.1474340496008202
1,0.8082194140723692
1,0.775507434148472
1,0.8916014191160252
1,0.7496561383800221
0,0.09652570581096184
0,0.20214877250483557
0,0.2555543768217453
0,0.21687846342468986
0,0.14396563556110825
0,0.12488319634646015
1,0.9352006522201616
1,0.9689822992192527
0,0.19586744282956645
1,0.9743283413595675
1,0.787803198404514
1,0.8917862372615969
0,0.13501998229910575
1,0.6149483607323024
1,0.8206386444085277
1,0.7142684772235522
1,0.7848819576203548
1,0.7712330695210667
0,0.07636155343748549
0,0.08789893488121442
0,0.15523205608317936
1,0.8976969506623569
0,0.10727789401651049
0,0.10211841580898215
0,0.1285699434429106
0,0.0740682235924035
1,0.7535164875768283
1,0.8153256030143022
0,0.2503731421981244
0,0.18383972784584307
1,0.8155666884005907
1,0.7428109197608356
1,0.8555415246652461
1,0.889743297108098
1,0.7901801246964144
0,0.26208444802520126
1,0.9210287263488666
1,0.9601712067806589
1,0.6125803155799865
0,0.37893067858836327
0,0.10571741271287972
0,0.24030007542862936
1,0.8356308149498249
0,0.1430039443974586
0,0.09337594055932795
1,0.6995343532282678
0,0.26838049373223233
0,0.25164754062521366
0,0.3697136132069334
0,0.26331116211591016
0,0.3013275528180018
0,0.1454069924121879
0,0.2964388742036363
1,0.8324476782398458
1,0.7553201680651812
1,0.9664969530327441
0,0.16479222618167694
1,0.9672504545398904
1,0.9051630747380509
0,0.10063949987399172
1,0.952043553159358
1,0.7007562590684646
1,0.9333856255933096
1,0.9078813334954222
0,0.2815631084198621
0,0.250305412394939
1,0.8786945370873603
0,0.08694417597141821
1,0.6504245273416304
0,0.3021804746236091
0,0.35010295204897907
1,0.7898420269817511
1,0.924273327899331
1,0.7378315800681517
0,0.28621323902498574
1,0.7134052930317226
0,0.13665305359712496
